#Step,z_near,z_far
400,0.0000000,0.0012640
399,0.0012640,0.0037980
398,0.0037980,0.0063410
397,0.0063410,0.0088930
396,0.0088930,0.0114540
395,0.0114540,0.0140240
394,0.0140240,0.0166030
393,0.0166030,0.0191910
392,0.0191910,0.0217880
391,0.0217880,0.0243950
390,0.0243950,0.0270100
389,0.0270100,0.0296350
388,0.0296350,0.0322700
387,0.0322700,0.0349140
386,0.0349140,0.0375670
385,0.0375670,0.0402300
384,0.0402300,0.0429030
383,0.0429030,0.0455850
382,0.0455850,0.0482770
381,0.0482770,0.0509790
380,0.0509790,0.0536910
379,0.0536910,0.0564130
378,0.0564130,0.0591450
377,0.0591450,0.0618870
376,0.0618870,0.0646390
375,0.0646390,0.0674010
374,0.0674010,0.0701740
373,0.0701740,0.0729570
372,0.0729570,0.0757500
371,0.0757500,0.0785540
370,0.0785540,0.0813680
369,0.0813680,0.0841930
368,0.0841930,0.0870290
367,0.0870290,0.0898750
366,0.0898750,0.0927330
365,0.0927330,0.0956010
364,0.0956010,0.0984800
363,0.0984800,0.1013700
362,0.1013700,0.1042720
361,0.1042720,0.1071840
360,0.1071840,0.1101080
359,0.1101080,0.1130430
358,0.1130430,0.1159900
357,0.1159900,0.1189480
356,0.1189480,0.1219180
355,0.1219180,0.1248990
354,0.1248990,0.1278920
353,0.1278920,0.1308980
352,0.1308980,0.1339150
351,0.1339150,0.1369440
350,0.1369440,0.1399850
349,0.1399850,0.1430380
348,0.1430380,0.1461030
347,0.1461030,0.1491810
346,0.1491810,0.1522720
345,0.1522720,0.1553750
344,0.1553750,0.1584900
343,0.1584900,0.1616180
342,0.1616180,0.1647600
341,0.1647600,0.1679130
340,0.1679130,0.1710800
339,0.1710800,0.1742610
338,0.1742610,0.1774540
337,0.1774540,0.1806600
336,0.1806600,0.1838800
335,0.1838800,0.1871140
334,0.1871140,0.1903610
333,0.1903610,0.1936220
332,0.1936220,0.1968960
331,0.1968960,0.2001850
330,0.2001850,0.2034870
329,0.2034870,0.2068041
328,0.2068041,0.2101340
327,0.2101340,0.2134790
326,0.2134790,0.2168390
325,0.2168390,0.2202131
324,0.2202131,0.2236021
323,0.2236021,0.2270060
322,0.2270060,0.2304240
321,0.2304240,0.2338580
320,0.2338580,0.2373061
319,0.2373061,0.2407701
318,0.2407701,0.2442501
317,0.2442501,0.2477441
316,0.2477441,0.2512551
315,0.2512551,0.2547811
314,0.2547811,0.2583231
313,0.2583231,0.2618811
312,0.2618811,0.2654551
311,0.2654551,0.2690461
310,0.2690461,0.2726531
309,0.2726531,0.2762761
308,0.2762761,0.2799161
307,0.2799161,0.2835731
306,0.2835731,0.2872471
305,0.2872471,0.2909381
304,0.2909381,0.2946461
303,0.2946461,0.2983721
302,0.2983721,0.3021151
301,0.3021151,0.3058761
300,0.3058761,0.3096551
299,0.3096551,0.3134521
298,0.3134521,0.3172661
297,0.3172661,0.3211001
296,0.3211001,0.3249511
295,0.3249511,0.3288211
294,0.3288211,0.3327101
293,0.3327101,0.3366181
292,0.3366181,0.3405451
291,0.3405451,0.3444921
290,0.3444921,0.3484581
289,0.3484581,0.3524431
288,0.3524431,0.3564481
287,0.3564481,0.3604731
286,0.3604731,0.3645191
285,0.3645191,0.3685851
284,0.3685851,0.3726711
283,0.3726711,0.3767781
282,0.3767781,0.3809061
281,0.3809061,0.3850551
280,0.3850551,0.3892251
279,0.3892251,0.3934171
278,0.3934171,0.3976301
277,0.3976301,0.4018651
276,0.4018651,0.4061231
275,0.4061231,0.4104031
274,0.4104031,0.4147051
273,0.4147051,0.4190301
272,0.4190301,0.4233781
271,0.4233781,0.4277491
270,0.4277491,0.4321441
269,0.4321441,0.4365621
268,0.4365621,0.4410041
267,0.4410041,0.4454701
266,0.4454701,0.4499601
265,0.4499601,0.4544751
264,0.4544751,0.4590151
263,0.4590151,0.4635791
262,0.4635791,0.4681691
261,0.4681691,0.4727851
260,0.4727851,0.4774261
259,0.4774261,0.4820941
258,0.4820941,0.4867881
257,0.4867881,0.4915081
256,0.4915081,0.4962551
255,0.4962551,0.5010301
254,0.5010301,0.5058311
253,0.5058311,0.5106611
252,0.5106611,0.5155181
251,0.5155181,0.5204042
250,0.5204042,0.5253181
249,0.5253181,0.5302612
248,0.5302612,0.5352342
247,0.5352342,0.5402361
246,0.5402361,0.5452672
245,0.5452672,0.5503291
244,0.5503291,0.5554212
243,0.5554212,0.5605441
242,0.5605441,0.5656981
241,0.5656981,0.5708842
240,0.5708842,0.5761012
239,0.5761012,0.5813501
238,0.5813501,0.5866321
237,0.5866321,0.5919471
236,0.5919471,0.5972952
235,0.5972952,0.6026762
234,0.6026762,0.6080922
233,0.6080922,0.6135422
232,0.6135422,0.6190262
231,0.6190262,0.6245462
230,0.6245462,0.6301012
229,0.6301012,0.6356932
228,0.6356932,0.6413202
227,0.6413202,0.6469842
226,0.6469842,0.6526862
225,0.6526862,0.6584252
224,0.6584252,0.6642022
223,0.6642022,0.6700182
222,0.6700182,0.6758732
221,0.6758732,0.6817672
220,0.6817672,0.6877012
219,0.6877012,0.6936762
218,0.6936762,0.6996912
217,0.6996912,0.7057482
216,0.7057482,0.7118472
215,0.7118472,0.7179882
214,0.7179882,0.7241722
213,0.7241722,0.7304002
212,0.7304002,0.7366722
211,0.7366722,0.7429882
210,0.7429882,0.7493492
209,0.7493492,0.7557562
208,0.7557562,0.7622092
207,0.7622092,0.7687103
206,0.7687103,0.7752572
205,0.7752572,0.7818533
204,0.7818533,0.7884972
203,0.7884972,0.7951912
202,0.7951912,0.8019353
201,0.8019353,0.8087292
200,0.8087292,0.8155752
199,0.8155752,0.8224723
198,0.8224723,0.8294232
197,0.8294232,0.8364263
196,0.8364263,0.8434843
195,0.8434843,0.8505973
194,0.8505973,0.8577653
193,0.8577653,0.8649903
192,0.8649903,0.8722723
191,0.8722723,0.8796123
190,0.8796123,0.8870103
189,0.8870103,0.8944683
188,0.8944683,0.9019873
187,0.9019873,0.9095663
186,0.9095663,0.9172083
185,0.9172083,0.9249133
184,0.9249133,0.9326823
183,0.9326823,0.9405163
182,0.9405163,0.9484153
181,0.9484153,0.9563813
180,0.9563813,0.9644153
179,0.9644153,0.9725183
178,0.9725183,0.9806903
177,0.9806903,0.9889343
176,0.9889343,0.9972493
175,0.9972493,1.0056373
174,1.0056373,1.0140994
173,1.0140994,1.0226374
172,1.0226374,1.0312513
171,1.0312513,1.0399424
170,1.0399424,1.0487133
169,1.0487133,1.0575633
168,1.0575633,1.0664943
167,1.0664943,1.0755084
166,1.0755084,1.0846064
165,1.0846064,1.0937904
164,1.0937904,1.1030604
163,1.1030604,1.1124184
162,1.1124184,1.1218654
161,1.1218654,1.1314034
160,1.1314034,1.1410344
159,1.1410344,1.1507595
158,1.1507595,1.1605794
157,1.1605794,1.1704974
156,1.1704974,1.1805134
155,1.1805134,1.1906304
154,1.1906304,1.2008494
153,1.2008494,1.2111725
152,1.2111725,1.2216024
151,1.2216024,1.2321384
150,1.2321384,1.2427855
149,1.2427855,1.2535435
148,1.2535435,1.2644155
147,1.2644155,1.2754024
146,1.2754024,1.2865075
145,1.2865075,1.2977325
144,1.2977325,1.3090795
143,1.3090795,1.3205504
142,1.3205504,1.3321484
141,1.3321484,1.3438755
140,1.3438755,1.3557345
139,1.3557345,1.3677266
138,1.3677266,1.3798555
137,1.3798555,1.3921245
136,1.3921245,1.4045346
135,1.4045346,1.4170896
134,1.4170896,1.4297925
133,1.4297925,1.4426465
132,1.4426465,1.4556526
131,1.4556526,1.4688165
130,1.4688165,1.4821405
129,1.4821405,1.4956266
128,1.4956266,1.5092796
127,1.5092796,1.5231036
126,1.5231036,1.5371006
125,1.5371006,1.5512747
124,1.5512747,1.5656296
123,1.5656296,1.5801697
122,1.5801697,1.5948986
121,1.5948986,1.6098217
120,1.6098217,1.6249406
119,1.6249406,1.6402626
118,1.6402626,1.6557907
117,1.6557907,1.6715297
116,1.6715297,1.6874837
115,1.6874837,1.7036597
114,1.7036597,1.7200607
113,1.7200607,1.7366937
112,1.7366937,1.7535627
111,1.7535627,1.7706747
110,1.7706747,1.7880348
109,1.7880348,1.8056488
108,1.8056488,1.8235228
107,1.8235228,1.8416637
106,1.8416637,1.8600788
105,1.8600788,1.8787738
104,1.8787738,1.8977568
103,1.8977568,1.9170338
102,1.9170338,1.9366149
101,1.9366149,1.9565048
100,1.9565048,1.9767148
99,1.9767148,1.9972509
98,1.9972509,2.0181239
97,2.0181239,2.0393419
96,2.0393419,2.0609138
95,2.0609138,2.0828509
94,2.0828509,2.1051629
93,2.1051629,2.1278598
92,2.1278598,2.1509540
91,2.1509540,2.1744559
90,2.1744559,2.1983769
89,2.1983769,2.2227321
88,2.2227321,2.2475309
87,2.2475309,2.2727900
86,2.2727900,2.2985210
85,2.2985210,2.3247402
84,2.3247402,2.3514631
83,2.3514631,2.3787041
82,2.3787041,2.4064801
81,2.4064801,2.4348102
80,2.4348102,2.4637113
79,2.4637113,2.4932032
78,2.4932032,2.5233052
77,2.5233052,2.5540373
76,2.5540373,2.5854232
75,2.5854232,2.6174853
74,2.6174853,2.6502473
73,2.6502473,2.6837344
72,2.6837344,2.7179732
71,2.7179732,2.7529914
70,2.7529914,2.7888184
69,2.7888184,2.8254845
68,2.8254845,2.8630235
67,2.8630235,2.9014685
66,2.9014685,2.9408555
65,2.9408555,2.9812236
64,2.9812236,3.0226116
63,3.0226116,3.0650625
62,3.0650625,3.1086226
61,3.1086226,3.1533377
60,3.1533377,3.1992588
59,3.1992588,3.2464397
58,3.2464397,3.2949378
57,3.2949378,3.3448119
56,3.3448119,3.3961279
55,3.3961279,3.4489548
54,3.4489548,3.5033638
53,3.5033638,3.5594349
52,3.5594349,3.6172509
51,3.6172509,3.6769011
50,3.6769011,3.7384801
49,3.7384801,3.8020933
48,3.8020933,3.8678491
47,3.8678491,3.9358664
46,3.9358664,4.0062742
45,4.0062742,4.0792112
44,4.0792112,4.1548266
43,4.1548266,4.2332807
42,4.2332807,4.3147516
41,4.3147516,4.3994298
40,4.3994298,4.4875216
39,4.4875216,4.5792580
38,4.5792580,4.6748829
37,4.6748829,4.7746720
36,4.7746720,4.8789239
35,4.8789239,4.9879670
34,4.9879670,5.1021671
33,5.1021671,5.2219262
32,5.2219262,5.3476934
31,5.3476934,5.4799666
30,5.4799666,5.6193037
29,5.6193037,5.7663307
28,5.7663307,5.9217529
27,5.9217529,6.0863662
26,6.0863662,6.2610755
25,6.2610755,6.4469104
24,6.4469104,6.6450548
23,6.6450548,6.8568692
22,6.8568692,7.0839314
21,7.0839314,7.3280797
20,7.3280797,7.5914750
19,7.5914750,7.8766670
18,7.8766670,8.1866999
17,8.1866999,8.5252304
16,8.5252304,8.8967009
15,8.8967009,9.3065643
14,9.3065643,9.7615976
13,9.7615976,10.2703371
12,10.2703371,10.8437090
11,10.8437090,11.4959488
10,11.4959488,12.2459908
9,12.2459908,13.1196384
8,13.1196384,14.1530924
7,14.1530924,15.3989258
6,15.3989258,16.9368668
5,16.9368668,18.8945580
4,18.8945580,21.4914761
3,21.4914761,25.1436710
2,25.1436710,30.7611084
1,30.7611084,40.8575935
0,40.8575935,68.0222015
